   100	  -nan(ind)	   -nan(ind)	  -nan(ind)	   -nan(ind)
   200	  -nan(ind)	   -nan(ind)	  -nan(ind)	   -nan(ind)
   400	  -nan(ind)	   -nan(ind)	       -nan	        -nan
   800	 2.54391445	  1.22094985	  -nan(ind)	   -nan(ind)
  1600	 1.61683551	  0.27537546	  -nan(ind)	   -nan(ind)
  3200	 0.85885380	  0.08118317	30.00000000	  0.10000000
  6400	 0.44782482	  0.02125732	30.00000000	  0.10000000
 12800	 0.22900980	  0.00540745	30.00000000	  0.10000000
 25600	 0.11583019	  0.00136264	30.00000000	  0.10000000
 51200	 0.05825243	  0.00034199	30.00000000	  0.10000000
102400	 0.02921130	  0.00008566	30.00000000	  0.10000000
204800	 0.01462701	  0.00002144	30.00000000	  0.10000000
409600	 0.00731886	  0.00000536	30.00000000	  0.10000000
