    10	 6.20e-02	1.57e-04	4.95e-07	
    20	 3.15e-02	2.02e-05	1.49e-08	
    40	 1.59e-02	2.56e-06	4.53e-10	
    80	 7.96e-03	3.22e-07	1.40e-11	
   160	 3.99e-03	4.03e-08	4.35e-13	
   320	 1.99e-03	5.05e-09	1.38e-14	
   640	 9.97e-04	6.31e-10	1.33e-15	
  1280	 4.99e-04	7.90e-11	1.67e-15	
  2560	 2.49e-04	9.87e-12	3.77e-15	
  5120	 1.25e-04	1.23e-12	3.77e-15	
 10240	 6.24e-05	1.55e-13	2.33e-15	
 20480	 3.12e-05	2.02e-14	5.22e-15	
 40960	 1.56e-05	1.13e-14	1.11e-14	
 81920	 7.79e-06	6.11e-15	1.24e-14	
163840	 3.90e-06	1.18e-14	1.38e-14	
327680	 1.95e-06	9.99e-15	2.75e-14	
