   0.000000	 5.0000e+00	 5.2934e-02	 5.9611e-01	 3.1768e-01
   0.010000	 5.0208e+00	 5.4984e-02	 5.9665e-01	 3.1819e-01
   0.020000	 5.1139e+00	 5.0967e-02	 5.9704e-01	 3.1871e-01
   0.030000	 4.4399e+00	 6.5929e-02	 5.9725e-01	 3.1952e-01
   0.040000	 1.2574e+03	 -1.1118e+21	 1.9232e+16	 -1.7746e+00
   0.050000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.060000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.070000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.080000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.090000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.100000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.110000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.120000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.130000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.140000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.150000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.160000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.170000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.180000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.190000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.200000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.210000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.220000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.230000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.240000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.250000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.260000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.270000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.280000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.290000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.300000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.310000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.320000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.330000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.340000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.350000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.360000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.370000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.380000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.390000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.400000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.410000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.420000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.430000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.440000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.450000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.460000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.470000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.480000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.490000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.500000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.510000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.520000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.530000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.540000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.550000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.560000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.570000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.580000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.590000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.600000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.610000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.620000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.630000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.640000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.650000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.660000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.670000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.680000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.690000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.700000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.710000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.720000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.730000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.740000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.750000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.760000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.770000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.780000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.790000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.800000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.810000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.820000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.830000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.840000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.850000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.860000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.870000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.880000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.890000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.900000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.910000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.920000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.930000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.940000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.950000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.960000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.970000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.980000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   0.990000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.000000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.010000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.020000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.030000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.040000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.050000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.060000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.070000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.080000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.090000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.100000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.110000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.120000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.130000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.140000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.150000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.160000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.170000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.180000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.190000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.200000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.210000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.220000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.230000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.240000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.250000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.260000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.270000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.280000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.290000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.300000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.310000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.320000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.330000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.340000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.350000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.360000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.370000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.380000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.390000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.400000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.410000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.420000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.430000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.440000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.450000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.460000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.470000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.480000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.490000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.500000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.510000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.520000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.530000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.540000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.550000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.560000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.570000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.580000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.590000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.600000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.610000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.620000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.630000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.640000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.650000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.660000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.670000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.680000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.690000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.700000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.710000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.720000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.730000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.740000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.750000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.760000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.770000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.780000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.790000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.800000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.810000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.820000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.830000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.840000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
